,Date,Temperature,Precipitation,WindSpeed,WindDirection,Humidity,VaporPressure,DewPoint,LocalPressure,SeaLevelPressure,Sunshine,Radiation,Snow,3hourSnow,AmountofCloud,LowMiddleLevelClouds,CloudsShape,MinimumCloudHeight,Visibility,GroundCondition,GroundTemperature,Soil5cm,Soil10cm,Soil20cm,Soil30cm
155,1908-12-24 00:00,,,,,,,,,,,,,,,,,,,,,,,,
156,1908-12-24 03:00,,,,,,,,,,,,,,,,,,,,,,,,
157,1908-12-24 06:00,-5.0,,5.8,50.0,66.0,2.8,,1019.9,,,,,,10.0,,,,,,,,,,
158,1908-12-24 08:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
159,1908-12-24 09:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
160,1908-12-24 10:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
161,1908-12-24 11:00,,,,,,,,,,0.3,,,,,,,,,,,,,,
162,1908-12-24 12:00,,,,,,,,,,0.2,,,,,,,,,,,,,,
163,1908-12-24 13:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
164,1908-12-24 14:00,0.2,,2.7,50.0,63.0,3.9,,1017.2,,0.0,,,,10.0,,,,,,,,,,
165,1908-12-24 15:00,,,,,,,,,,0.2,,,,,,,,,,,,,,
166,1908-12-24 16:00,,,,,,,,,,0.9,,,,,,,,,,,,,,
167,1908-12-24 17:00,,,,,,,,,,0.2,,,,,,,,,,,,,,
168,1908-12-24 22:00,-2.8,,0.7,140.0,74.0,3.7,,1018.4,,,,,,0.0,,,,,,,,,,
169,1908-12-25 00:00,,,,,,,,,,,,,,,,,,,,,,,,
170,1908-12-25 03:00,,,,,,,,,,,,,,,,,,,,,,,,
171,1908-12-25 06:00,-6.2,,0.2,0.0,87.0,3.3,,1019.2,,,,,,0.0,,,,,,,,,,
172,1908-12-25 08:00,,,,,,,,,,0.2,,,,,,,,,,,,,,
173,1908-12-25 09:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
174,1908-12-25 10:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
175,1908-12-25 11:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
176,1908-12-25 12:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
177,1908-12-25 13:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
178,1908-12-25 14:00,5.9,,2.7,110.0,60.0,5.5,,1017.8,,1.0,,,,7.0,,,,,,,,,,
179,1908-12-25 15:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
180,1908-12-25 16:00,,,,,,,,,,0.9,,,,,,,,,,,,,,
181,1908-12-25 17:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
182,1908-12-25 22:00,-0.6,,1.1,270.0,85.0,4.9,,1017.8,,,,,,0.0,,,,,,,,,,
183,1909-12-19 00:00,,,,,,,,,,,,,,,,,,,,,,,,
184,1909-12-19 03:00,,,,,,,,,,,,,,,,,,,,,,,,
185,1909-12-19 06:00,-9.0,,0.0,0.0,89.0,2.8,,1026.8,,,,,,0.0,,,,,,,,,,
186,1909-12-19 09:00,,,,,,,,,,0.1,,,,,,,,,,,,,,
187,1909-12-19 10:00,,,,,,,,,,0.8,,,,,,,,,,,,,,
188,1909-12-19 11:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
189,1909-12-19 12:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
190,1909-12-19 13:00,,,,,,,,,,0.9,,,,,,,,,,,,,,
191,1909-12-19 14:00,3.8,,3.2,140.0,51.0,4.0,,1024.4,,1.0,,,,8.0,,,,,,,,,,
192,1909-12-19 15:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
193,1909-12-19 16:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
194,1909-12-19 17:00,,,,,,,,,,0.8,,,,,,,,,,,,,,
195,1909-12-19 22:00,-3.0,,0.2,0.0,95.0,4.7,,1023.6,,,,,,10.0,,,,,,,,,,
196,1909-12-20 00:00,,,,,,,,,,,,,,,,,,,,,,,,
197,1909-12-20 03:00,,,,,,,,,,,,,,,,,,,,,,,,
198,1909-12-20 06:00,-2.6,,0.0,0.0,89.0,4.5,,1022.2,,,,,,10.0,,,,,,,,,,
199,1909-12-20 09:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
200,1909-12-20 10:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
201,1909-12-20 11:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
202,1909-12-20 12:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
203,1909-12-20 13:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
